target,ensembl,genetic,assoc_overall,tractability_sm,sm_evidence,composite
JAK2,ENSG00000096968,0.8179,0.7232,1.0,Approved Drug,0.8627
IL12B,ENSG00000113302,0.8831,0.7324,0.6,Structure with Ligand,0.7539
IL10,ENSG00000136634,0.8831,0.5483,0.4,Med-Quality Pocket,0.647
STAT3,ENSG00000168610,0.7024,0.4367,0.6,High-Quality Ligand;Structure with Ligand,0.6134
AHR,ENSG00000106546,0.4318,0.2671,1.0,Approved Drug,0.5977
IL6R,ENSG00000160712,0.5785,0.3557,0.6,Structure with Ligand,0.5414
IL23R,ENSG00000162594,0.9039,0.5576,0.0,,0.5182
TYK2,ENSG00000105397,0.0518,0.588,1.0,Approved Drug,0.4909
PDE10A,ENSG00000112541,0.0,0.1035,1.0,Approved Drug,0.3707
EGLN1,ENSG00000135766,0.0,0.0036,1.0,Approved Drug,0.3507
GPX4,ENSG00000167468,0.0353,0.0253,0.6,High-Quality Ligand;Structure with Ligand,0.231
HIF1A,ENSG00000100644,0.0,0.0417,0.6,High-Quality Ligand;Structure with Ligand,0.2183
