chembl_id,pharm_tanimoto,pharm_recall,n_bits,shape_tanimoto,o3a_score,planarity,heavy_atoms,aromatic_rings,fused_rings,name,shape_tanimoto_r,pharm_tanimoto_r,pharm_recall_r,consensus
CHEMBL585,0.1074,0.5481,628,0.6336,105.16,0.502,19,3,1,TRIAMTERENE,0.9762470308788599,0.8717339667458432,0.9928741092636579,0.949
CHEMBL550495,0.15,0.2,72,0.6771,111.15,0.135,24,3,2,METHYLENE BLUE,0.997624703087886,0.9857482185273159,0.669833729216152,0.9121
CHEMBL1398126,0.0829,0.3481,479,0.6711,,0.013,18,1,0,AMILORIDE HYDROCHLORIDE,0.9928741092636579,0.7814726840855107,0.8788598574821853,0.901
CHEMBL65375,0.1406,0.2667,157,0.5921,,0.542,17,1,0,TIPIRACIL HYDROCHLORIDE,0.9097387173396675,0.9762470308788599,0.7779097387173397,0.8967
CHEMBL184,0.083,0.3556,491,0.6217,104.65,0.359,16,2,1,ACYCLOVIR,0.9691211401425178,0.7862232779097387,0.8919239904988123,0.895
CHEMBL802,0.0841,0.3185,419,0.6459,84.37,0.397,15,1,0,MINOXIDIL,0.9833729216152018,0.7933491686460807,0.8432304038004751,0.8913
CHEMBL2106829,0.1522,0.2074,77,0.6054,,0.743,20,3,1,METHAQUALONE HYDROCHLORIDE,0.9358669833729216,0.9928741092636579,0.6876484560570071,0.8909
CHEMBL53292,0.0863,0.3556,469,0.6123,101.79,0.502,23,2,1,ISOXICAM,0.9501187648456056,0.8004750593824228,0.8919239904988123,0.8907
CHEMBL6068337,0.1093,0.2963,271,0.6042,,0.72,21,1,1,LENALIDOMIDE HYDROCHLORIDE MONOHYDRATE,0.9334916864608076,0.8836104513064132,0.8171021377672208,0.8894
CHEMBL1763,0.139,0.3037,201,0.5729,98.48,0.673,20,1,1,HYDROFLUMETHIAZIDE,0.8598574821852731,0.9738717339667459,0.830166270783848,0.8866
CHEMBL19236,0.0879,0.2593,298,0.6707,105.58,0.366,16,1,0,MOXONIDINE,0.9904988123515439,0.8147268408551069,0.7624703087885986,0.8808
CHEMBL93,0.151,0.2148,86,0.5862,101.02,0.962,16,2,1,ZILEUTON,0.8931116389548693,0.9904988123515439,0.7019002375296912,0.8745
CHEMBL110,0.1222,0.2,113,0.6085,91.27,0.533,19,2,0,BENZNIDAZOLE,0.9453681710213777,0.9228028503562945,0.669833729216152,0.8697
CHEMBL20,0.1309,0.2889,202,0.5693,90.98,0.497,13,1,0,ACETAZOLAMIDE,0.8432304038004751,0.9477434679334917,0.8052256532066508,0.8651
CHEMBL1483,0.1734,0.3481,183,0.5443,108.73,0.452,18,2,1,ALBENDAZOLE,0.7624703087885986,0.997624703087886,0.8788598574821853,0.8621
CHEMBL715,0.1041,0.3926,427,0.5638,98.5,0.657,22,2,2,OLANZAPINE,0.8242280285035629,0.8646080760095012,0.9239904988123515,0.8613
