chembl_id,shape_tanimoto,o3a_score,planarity,heavy_atoms,aromatic_rings,fused_rings,name
CHEMBL276520,0.7215,97.0,0.355,17,2,1,INDALPINE
CHEMBL550495,0.6771,111.15,0.135,24,3,2,METHYLENE BLUE
CHEMBL3181841,0.674,,0.608,22,3,2,RAMOSETRON HYDROCHLORIDE
CHEMBL1398126,0.6711,,0.013,18,1,0,AMILORIDE HYDROCHLORIDE
CHEMBL19236,0.6707,105.58,0.366,16,1,0,MOXONIDINE
CHEMBL1201774,0.6632,111.19,0.408,17,1,1,SAPROPTERIN
CHEMBL1279,0.6575,95.79,0.285,18,2,2,FROVATRIPTAN
CHEMBL802,0.6459,84.37,0.397,15,1,0,MINOXIDIL
CHEMBL550755,0.6434,,0.49,20,2,1,FORODESINE HYDROCHLORIDE
CHEMBL420,0.6379,95.92,0.206,14,1,0,GUANABENZ
CHEMBL585,0.6336,105.16,0.502,19,3,1,TRIAMTERENE
CHEMBL1475,0.6299,91.79,0.0,17,3,2,TRIOXSALEN
CHEMBL885,0.6299,99.69,0.503,16,1,0,EMTRICITABINE
CHEMBL184,0.6217,104.65,0.359,16,2,1,ACYCLOVIR
CHEMBL1256400,0.6184,,0.8,19,1,0,XYLOMETAZOLINE HYDROCHLORIDE
CHEMBL1626223,0.6175,83.12,0.417,14,1,0,PYRANTEL
CHEMBL1200778,0.6168,,0.839,20,0,0,DEXRAZOXANE HYDROCHLORIDE
CHEMBL3182733,0.6151,,0.617,17,1,1,PRAMIPEXOLE DIHYDROCHLORIDE
CHEMBL1983350,0.615,86.03,0.629,17,1,1,STIRIPENTOL
CHEMBL1159,0.6134,85.06,0.645,18,1,0,PINACIDIL ANHYDROUS
CHEMBL3140361,0.6129,,0.637,16,0,0,ETHAMBUTOL HYDROCHLORIDE
CHEMBL53292,0.6123,101.79,0.502,23,2,1,ISOXICAM
CHEMBL4594300,0.6102,,0.714,27,1,3,FOSDENOPTERIN HYDROBROMIDE
CHEMBL110,0.6085,91.27,0.533,19,2,0,BENZNIDAZOLE
CHEMBL295124,0.6075,106.11,0.316,25,3,4,BERBERINE
CHEMBL1200330,0.6068,,0.741,16,1,0,PILOCARPINE HYDROCHLORIDE
CHEMBL3237547,0.6061,93.66,0.709,18,0,0,CEDAZURIDINE
CHEMBL2106829,0.6054,,0.743,20,3,1,METHAQUALONE HYDROCHLORIDE
CHEMBL6068337,0.6042,,0.72,21,1,1,LENALIDOMIDE HYDROCHLORIDE MONOHYDRATE
CHEMBL2105675,0.6037,115.46,0.627,33,3,1,TAFAMIDIS MEGLUMINE
CHEMBL3989571,0.6014,,0.606,30,0,2,SPECTINOMYCIN HYDROCHLORIDE
CHEMBL1218,0.5972,91.2,0.715,19,1,2,RAMELTEON
CHEMBL1698,0.5959,,0.689,17,1,0,BUPROPION HYDROCHLORIDE
CHEMBL1289,0.5946,79.75,0.0,14,1,0,HALOPROGIN
CHEMBL1585,0.5943,75.82,0.432,16,0,0,PIPOBROMAN
CHEMBL578767,0.5936,92.65,0.545,16,1,0,FLUMEXADOL
CHEMBL1319139,0.5935,,0.726,19,1,0,BROMHEXINE HYDROCHLORIDE
CHEMBL1200379,0.5934,,0.7,16,1,0,APRACLONIDINE HYDROCHLORIDE
CHEMBL65375,0.5921,,0.542,17,1,0,TIPIRACIL HYDROCHLORIDE
CHEMBL3137326,0.5912,102.16,0.701,23,1,2,DEUTETRABENAZINE
CHEMBL607710,0.5902,87.63,0.482,16,1,0,CHLORPHENESIN CARBAMATE
CHEMBL1301,0.59,94.37,0.427,21,2,0,HYDROXYSTILBAMIDINE
CHEMBL21536,0.5899,94.96,0.795,19,1,0,XANOMELINE
CHEMBL1294,0.5898,97.17,0.773,24,2,4,QUINIDINE
CHEMBL278819,0.5891,102.0,0.898,22,2,0,MINAPRINE
CHEMBL93,0.5862,101.02,0.962,16,2,1,ZILEUTON
CHEMBL1770,0.5854,,0.592,15,1,1,LEVAMISOLE HYDROCHLORIDE
CHEMBL1580,0.5826,103.8,0.613,19,1,1,PENTOSTATIN
CHEMBL594,0.5814,112.64,0.728,22,2,1,EMEDASTINE
CHEMBL2205807,0.5803,84.91,0.009,14,2,0,ABAMETAPIR
CHEMBL2355333,0.5781,,0.379,22,2,0,ZIMELDINE HYDROCHLORIDE
CHEMBL30,0.576,99.66,0.549,17,1,0,CIMETIDINE
CHEMBL2106195,0.5756,,0.871,16,2,0,DEXMEDETOMIDINE HYDROCHLORIDE
CHEMBL71752,0.5752,106.68,0.872,26,2,6,VINPOCETINE
CHEMBL1367605,0.5744,,0.811,22,2,0,RITODRINE HYDROCHLORIDE
CHEMBL3137329,0.5744,,0.626,25,2,7,PEFICITINIB HYDROBROMIDE
CHEMBL746,0.574,114.0,0.64,27,3,2,NEDOCROMIL
CHEMBL1200907,0.5735,91.1,0.622,24,0,4,TRILOSTANE
CHEMBL2105689,0.573,98.99,1.097,21,2,0,LULICONAZOLE
CHEMBL1763,0.5729,98.48,0.673,20,1,1,HYDROFLUMETHIAZIDE
CHEMBL4802240,0.5724,88.17,0.838,20,1,0,FOSCARBIDOPA
CHEMBL1200863,0.5718,,0.536,20,1,0,MELPHALAN HYDROCHLORIDE
CHEMBL1303,0.5717,103.95,1.014,22,2,1,ROTIGOTINE
CHEMBL857,0.5716,81.79,0.967,16,0,1,BIOTIN
CHEMBL460,0.571,91.16,0.621,20,1,1,MOLINDONE
CHEMBL2107387,0.5707,,0.765,22,2,0,VORTIOXETINE HYDROBROMIDE
CHEMBL20,0.5693,90.98,0.497,13,1,0,ACETAZOLAMIDE
CHEMBL1200604,0.5692,94.64,1.142,21,2,0,TROPICAMIDE
CHEMBL4650215,0.5684,113.86,0.677,29,2,2,INAVOLISIB
CHEMBL311498,0.5683,88.92,0.552,21,2,1,CIANIDANOL
CHEMBL1094966,0.5664,90.78,0.599,17,1,0,PIRBUTEROL
CHEMBL256087,0.5656,68.45,0.226,11,0,0,MENTHOL
CHEMBL1201288,0.5653,100.45,0.125,23,2,0,DANTROLENE
CHEMBL1709,0.5652,,0.765,21,2,1,SERTRALINE HYDROCHLORIDE
CHEMBL715,0.5638,98.5,0.657,22,2,2,OLANZAPINE
CHEMBL476960,0.5619,93.77,0.667,18,0,0,VOGLIBOSE
CHEMBL1908307,0.5617,94.97,0.347,16,2,1,FLOSEQUINAN
CHEMBL1624126,0.5603,106.6,0.823,22,2,1,XANTHINOL
CHEMBL1200521,0.5603,105.85,0.766,32,2,1,ALMOTRIPTAN MALATE
CHEMBL779,0.5599,107.03,0.946,29,3,4,TADALAFIL
CHEMBL1201266,0.5594,96.14,0.0,21,1,0,LODOXAMIDE
CHEMBL338975,0.5577,98.78,0.66,30,2,2,PHYSOSTIGMINE SALICYLATE
CHEMBL902,0.557,88.3,0.537,20,1,0,FAMOTIDINE
CHEMBL1201308,0.5562,80.25,0.633,14,1,0,IOFETAMINE
CHEMBL3301605,0.5534,97.27,0.914,24,0,1,RELEBACTAM
CHEMBL2110816,0.5523,88.23,0.968,22,2,2,BUTRIPTYLINE
CHEMBL513,0.5521,77.58,0.742,12,0,0,CARMUSTINE
CHEMBL1201093,0.549,,0.406,11,0,0,METHYL AMINOLEVULINATE HYDROCHLORIDE
CHEMBL500,0.5487,89.17,0.814,18,2,1,PINDOLOL
CHEMBL689,0.5482,85.01,0.512,12,0,0,MANNITOL
CHEMBL19449,0.5477,100.57,0.617,17,2,1,IBUDILAST
CHEMBL105,0.5476,101.1,1.267,24,0,3,MITOMYCIN
CHEMBL515408,0.5473,109.59,0.588,24,2,1,MARIBAVIR
CHEMBL1465,0.5472,98.44,0.978,21,3,1,PHENPROCOUMON
CHEMBL1200411,0.5471,,0.72,20,1,1,ROPINIROLE HYDROCHLORIDE
CHEMBL622,0.5465,100.31,0.801,21,2,2,ETODOLAC
CHEMBL1201173,0.5465,98.14,0.739,25,0,3,MEDRYSONE
CHEMBL181,0.5453,81.53,0.475,14,1,1,DIAZOXIDE
CHEMBL1516474,0.5452,115.61,0.766,30,2,1,TEGASEROD MALEATE
CHEMBL1200934,0.5451,105.59,0.964,27,0,3,NORGESTIMATE
CHEMBL1483,0.5443,108.73,0.452,18,2,1,ALBENDAZOLE
CHEMBL1697744,0.5442,97.72,0.734,15,0,0,ERDOSTEINE
CHEMBL476,0.5436,90.57,0.147,13,1,0,DACARBAZINE
CHEMBL499,0.542,94.17,0.659,21,1,0,TIMOLOL
CHEMBL456,0.5417,79.59,0.779,19,1,0,ETHACRYNIC ACID
CHEMBL1329455,0.5399,94.35,0.438,17,1,0,MOLSIDOMINE
CHEMBL436,0.5397,89.13,1.012,24,2,1,TOLRESTAT
CHEMBL162036,0.5396,90.53,0.586,23,2,0,BENORILATE
CHEMBL744,0.5391,80.81,0.403,15,2,1,RILUZOLE
CHEMBL1561,0.5384,84.95,0.848,14,0,0,MIGLITOL
CHEMBL58510,0.5376,94.43,1.043,32,2,1,CHLOROQUINE PHOSPHATE
CHEMBL550348,0.5373,108.44,0.584,28,4,0,DEFERASIROX
CHEMBL211471,0.5371,85.88,0.638,22,1,0,NEOSTIGMINE METHYLSULFATE
CHEMBL1108,0.5365,129.66,0.734,28,3,1,DROPERIDOL
CHEMBL1200819,0.5361,,0.901,20,1,0,ARTICAINE HYDROCHLORIDE
CHEMBL142703,0.5356,94.61,1.01,22,0,6,VILDAGLIPTIN
CHEMBL223448,0.5356,76.93,0.0,13,2,1,BROXYQUINOLINE
