chembl_id,best_dG,error
CHEMBL535650,-11.387,""
CHEMBL1173055,-11.289,""
CHEMBL3545253,-11.184,""
CHEMBL3989973,-11.138,""
CHEMBL799,-10.901,""
CHEMBL1475,-10.833,""
CHEMBL1108,-10.609,""
CHEMBL4650215,-10.537,""
CHEMBL1200374,-10.515,""
CHEMBL3181841,-10.341,""
CHEMBL2105743,-10.297,""
CHEMBL311498,-10.257,""
CHEMBL1279,-10.244,""
CHEMBL483254,-10.232,""
CHEMBL1089318,-10.123,""
CHEMBL1521,-10.105,""
CHEMBL469,-10.1,""
CHEMBL162036,-10.054,""
CHEMBL1201174,-10.042,""
CHEMBL1201753,-10.013,""
CHEMBL1788386,-9.997,""
CHEMBL1301,-9.939,""
CHEMBL276520,-9.923,""
CHEMBL585,-9.882,""
CHEMBL1201773,-9.825,""
CHEMBL550495,-9.804,""
CHEMBL4297610,-9.783,""
CHEMBL3137329,-9.748,""
CHEMBL3137326,-9.734,""
CHEMBL75880,-9.7,""
CHEMBL1516474,-9.677,""
CHEMBL1200832,-9.644,""
CHEMBL4101807,-9.628,""
CHEMBL1367605,-9.613,""
CHEMBL1201346,-9.607,""
CHEMBL436,-9.566,""
CHEMBL215303,-9.545,""
CHEMBL24924,-9.532,""
CHEMBL1789941,-9.526,""
CHEMBL1201288,-9.525,""
CHEMBL295124,-9.485,""
CHEMBL2103772,-9.481,""
CHEMBL1086440,-9.474,""
CHEMBL48582,-9.463,""
CHEMBL2107387,-9.45,""
CHEMBL1218,-9.439,""
CHEMBL1201173,-9.406,""
CHEMBL190461,-9.4,""
CHEMBL1018,-9.385,""
CHEMBL2106829,-9.375,""
CHEMBL847,-9.371,""
CHEMBL1219,-9.308,""
CHEMBL1200521,-9.295,""
CHEMBL760,-9.293,""
CHEMBL193240,-9.264,""
CHEMBL1148,-9.264,""
CHEMBL6068337,-9.256,""
CHEMBL1303,-9.249,""
CHEMBL1200328,-9.236,""
CHEMBL1465,-9.211,""
CHEMBL294199,-9.143,""
CHEMBL1670,-9.123,""
CHEMBL622,-9.092,""
