drug,group,best_dG,rmsd_lb_vs_best,receptor_frame_rmsd_vs_indirubin,all_pose_dG
INDIRUBIN,CTRL,-12.64,0.00,0.428,"[-12.64, -12.15, -12.03]"
NAFTIFINE,BENCH,-11.39,0.00,n/a,"[-11.39, -11.31, -11.0]"
FLIBANSERIN,BENCH,-11.36,0.00,n/a,"[-11.36, -11.11, -8.86]"
RAMOSETRON,ORTH,-11.24,0.00,n/a,"[-11.24, -11.17, -10.91]"
BENPERIDOL,BENCH,-10.90,0.00,n/a,"[-10.9, -10.62, -10.22]"
FROVATRIPTAN,ORTH,-10.29,0.00,n/a,"[-10.29, -9.8, -9.5]"
ROSIGLITAZONE,BENCH,-10.04,0.00,n/a,"[-10.04, -9.82, -8.63]"
TRIAMTERENE,ORTH,-10.00,0.00,n/a,"[-10.0, -9.81, -9.46]"
NEBIVOLOL,BENCH,-9.91,0.00,n/a,"[-9.91, -9.9, -9.81]"
METHYLENE BLUE,ORTH,-9.69,0.00,n/a,"[-9.69, -9.51, -9.42]"
INDALPINE,ORTH,-9.58,0.00,n/a,"[-9.58, -9.37, -9.22]"
TRICLABENDAZOLE,BENCH,-9.49,0.00,n/a,"[-9.49, -8.57, -7.11]"
EMPAGLIFLOZIN,BENCH,-8.68,0.00,n/a,"[-8.68, -6.74, -6.18]"
LULICONAZOLE,BENCH,-8.61,0.00,n/a,"[-8.61, -8.43, -7.97]"
MINOXIDIL,ORTH,-8.29,0.00,n/a,"[-8.29, -8.16, -7.76]"
BUTOCONAZOLE,BENCH,-8.00,0.00,n/a,"[-8.0, -7.96, -7.74]"
GUANABENZ,ORTH,-7.93,0.00,n/a,"[-7.93, -7.91, -7.89]"
AMILORIDE,ORTH,-7.65,0.00,n/a,"[-7.65, -7.43, -7.39]"
SAPROPTERIN,ORTH,-7.58,0.00,n/a,"[-7.58, -7.51, -7.28]"
MOXONIDINE,ORTH,-6.92,0.00,n/a,"[-6.92, -6.54, -6.38]"
