id,name,vina,o3a_shape_color,shape_tanimoto,heavy_atoms,vina_n,o3a_n,composite
CHEMBL1089318,Opicapone,-10.67,102.582,0.458,27,0.833,0.833,0.833
CHEMBL1201753,Pitavastatin,-10.89,107.659,0.486,31,0.604,1.0,0.802
CHEMBL1301,Hydroxystilbamidine,-10.52,94.011,0.585,21,0.99,0.551,0.77
CHEMBL295124,Berberine,-10.91,106.104,0.607,25,0.583,0.949,0.766
CHEMBL1218,Ramelteon,-10.51,91.205,0.597,19,1.0,0.459,0.73
CHEMBL1475,Trioxsalen,-10.81,91.792,0.63,17,0.687,0.478,0.583
CHEMBL1173055,Rucaparib,-11.21,100.794,0.509,24,0.271,0.774,0.522
CHEMBL1200374,Exemestane,-10.53,77.25,0.533,22,0.979,0.0,0.489
CHEMBL1201174,Sitagliptin phosphate,-11.47,95.324,0.499,34,0.0,0.594,0.297
CHEMBL3545253,Flortaucipir F-18,-11.23,84.74,0.504,20,0.25,0.246,0.248
